"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S0802_C01_001E","Estimate!!Total!!Workers 16 years and over"
"S0802_C01_001M","Margin of Error!!Total!!Workers 16 years and over"
"S0802_C01_001MA","Annotation of Margin of Error!!Total!!Workers 16 years and over"
"S0802_C01_001EA","Annotation of Estimate!!Total!!Workers 16 years and over"
"S0802_C01_002E","Estimate!!Total!!Workers 16 years and over!!AGE!!16 to 19 years"
"S0802_C01_002M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!16 to 19 years"
"S0802_C01_002MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!AGE!!16 to 19 years"
"S0802_C01_002EA","Annotation of Estimate!!Total!!Workers 16 years and over!!AGE!!16 to 19 years"
"S0802_C01_003E","Estimate!!Total!!Workers 16 years and over!!AGE!!20 to 24 years"
"S0802_C01_003M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!20 to 24 years"
"S0802_C01_003MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!AGE!!20 to 24 years"
"S0802_C01_003EA","Annotation of Estimate!!Total!!Workers 16 years and over!!AGE!!20 to 24 years"
"S0802_C01_004E","Estimate!!Total!!Workers 16 years and over!!AGE!!25 to 44 years"
"S0802_C01_004M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!25 to 44 years"
"S0802_C01_004MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!AGE!!25 to 44 years"
"S0802_C01_004EA","Annotation of Estimate!!Total!!Workers 16 years and over!!AGE!!25 to 44 years"
"S0802_C01_005E","Estimate!!Total!!Workers 16 years and over!!AGE!!45 to 54 years"
"S0802_C01_005M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!45 to 54 years"
"S0802_C01_005MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!AGE!!45 to 54 years"
"S0802_C01_005EA","Annotation of Estimate!!Total!!Workers 16 years and over!!AGE!!45 to 54 years"
"S0802_C01_006E","Estimate!!Total!!Workers 16 years and over!!AGE!!55 to 59 years"
"S0802_C01_006M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!55 to 59 years"
"S0802_C01_006MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!AGE!!55 to 59 years"
"S0802_C01_006EA","Annotation of Estimate!!Total!!Workers 16 years and over!!AGE!!55 to 59 years"
"S0802_C01_007E","Estimate!!Total!!Workers 16 years and over!!AGE!!60 years and over"
"S0802_C01_007M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!60 years and over"
"S0802_C01_007MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!AGE!!60 years and over"
"S0802_C01_007EA","Annotation of Estimate!!Total!!Workers 16 years and over!!AGE!!60 years and over"
"S0802_C01_008E","Estimate!!Total!!Workers 16 years and over!!AGE!!Median age (years)"
"S0802_C01_008M","Margin of Error!!Total!!Workers 16 years and over!!AGE!!Median age (years)"
"S0802_C01_008MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!AGE!!Median age (years)"
"S0802_C01_008EA","Annotation of Estimate!!Total!!Workers 16 years and over!!AGE!!Median age (years)"
"S0802_C01_009E","Estimate!!Total!!Workers 16 years and over!!SEX!!Male"
"S0802_C01_009M","Margin of Error!!Total!!Workers 16 years and over!!SEX!!Male"
"S0802_C01_009MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!SEX!!Male"
"S0802_C01_009EA","Annotation of Estimate!!Total!!Workers 16 years and over!!SEX!!Male"
"S0802_C01_010E","Estimate!!Total!!Workers 16 years and over!!SEX!!Female"
"S0802_C01_010M","Margin of Error!!Total!!Workers 16 years and over!!SEX!!Female"
"S0802_C01_010MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!SEX!!Female"
"S0802_C01_010EA","Annotation of Estimate!!Total!!Workers 16 years and over!!SEX!!Female"
"S0802_C01_011E","Estimate!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0802_C01_011M","Margin of Error!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
"S0802_C01_011MA","Annotation of Margin of Error!!Total!!Workers 16 years and over!!RACE AND HISPANIC OR LATINO ORIGIN!!One race"
